date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:54:37	1760/1760	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:W/%226cd9329d91b2f57757d8304805dacc50%22	https://site148229.nicepage.io/robots.txt		(from )
10:54:38	5319/5319	---M-Z	200	added ('OK')	text/html	etag:W/%2217e48bde2a831a5f649264f23b4b8dc2%22	https://site148229.nicepage.io/	site148229.nicepage.io/index.html	(from )
10:54:39	48/48	---M-Z	200	added ('OK')	text/css	etag:W/%22e2f56cf77e8ca9b582000486000c7b78%22	https://site148229.nicepage.io/Home.css	site148229.nicepage.io/Home.css	(from https://site148229.nicepage.io/)
10:54:40	5264/5264	---M-Z	200	added ('OK')	text/html	etag:W/%22403644e50f599593eb0a7ca229f976b7%22	https://site148229.nicepage.io/Home.html	site148229.nicepage.io/Home.html	(from https://site148229.nicepage.io/)
10:54:40	737284/737284	---M-Z	200	added ('OK')	text/css	etag:W/%223d196f16e5422ad57e9adbadf47986df%22	https://site148229.nicepage.io/nicepage-site.css	site148229.nicepage.io/nicepage-site.css	(from https://site148229.nicepage.io/)
10:54:41	5267/5267	---M-Z	200	added ('OK')	text/html	etag:W/%22280d12017a735bb7099eda9ce10b1881%22	https://site148229.nicepage.io/About.html	site148229.nicepage.io/About.html	(from https://site148229.nicepage.io/)
10:54:42	5273/5273	---M-Z	200	added ('OK')	text/html	etag:W/%2237af5925672d3699682d648f106c126b%22	https://site148229.nicepage.io/Contact.html	site148229.nicepage.io/Contact.html	(from https://site148229.nicepage.io/)
10:54:43	7488/7488	---M-Z	200	added ('OK')	text/html	etag:W/%2297841b3d1669297ee0e8a35759ae91f8%22	https://site148229.nicepage.io/Page-1.html	site148229.nicepage.io/Page-1.html	(from https://site148229.nicepage.io/)
10:54:44	48/48	---M-Z	200	added ('OK')	text/css	etag:W/%22e2f56cf77e8ca9b582000486000c7b78%22	https://site148229.nicepage.io/About.css	site148229.nicepage.io/About.css	(from https://site148229.nicepage.io/About.html)
10:54:45	48/48	---M-Z	200	added ('OK')	text/css	etag:W/%22e2f56cf77e8ca9b582000486000c7b78%22	https://site148229.nicepage.io/Contact.css	site148229.nicepage.io/Contact.css	(from https://site148229.nicepage.io/Contact.html)
10:54:46	6392/6392	---M-Z	200	added ('OK')	text/css	etag:W/%22f3329abb0fea71aa0cb30ff23d94817b%22	https://site148229.nicepage.io/Page-1.css	site148229.nicepage.io/Page-1.css	(from https://site148229.nicepage.io/Page-1.html)
